443	1754	1084	1198	1536	1194
490	1799	827	946	1556	909
560	2154	892	739	2291	969
665	3028	410	280	5485	447
705	3303	1070	208	6236	1126
740	3472	4206	180	6889	4762
783	3656	5646	167	7323	6323
842	3566	5495	135	7176	6193
865	3686	6236	129	7530	6629
1610	5097	2101	26	10252	1731
2190	4736	775	14	8745	712
